20728	14	26243
20730	14	26031
25357	14	23890
2756	14	4845
13028	14	24637
22017	14	25347
20730	14	23900
2939	14	3965
45251	14	23161
13028	14	23688
42011	14	24059
28512	14	20334
21673	14	24247
23646	14	45525
20732	14	23764
42011	14	24022
26710	14	38735
20728	14	23759
20732	14	23826
22017	14	34021
9426	14	17789
33705	14	49650
22927	14	23887
20732	14	23832
20732	14	25683
22017	14	4400
33705	14	49725
20730	14	23174
24667	14	43765
45251	14	25285
24122	14	24307
42011	14	24178
7026	14	5959
22017	14	23139
42011	14	24019
20730	14	23843
42226	14	35523
20726	14	23853
21673	14	23881
33705	14	4319
33705	14	48828
13028	14	34034
24420	14	24343
24970	14	41878
41864	14	26038
21673	14	24165
22017	14	30465
42281	14	6605
22017	14	24330
33705	14	4470
41864	14	30980
21673	14	23867
42011	14	24060
15281	14	24196
25916	14	32403
25510	14	27115
45251	14	40839
24738	14	24650
15089	14	23978
13028	14	24623
9679	14	11607
34967	14	18341
42226	14	23683
34919	14	46384
17552	14	40142
33705	14	49655
21316	14	11435
20731	14	26017
25371	14	18721
41415	14	24579
33705	14	49656
24970	14	35004
13028	14	34020
13028	14	34032
42011	14	24179
42425	14	14216
26710	14	16417
26710	14	24584
14899	14	25384
22927	14	19457
13028	14	23765
20668	14	6937
26710	14	42175
42281	14	11269
22927	14	25682
33705	14	4449
28312	14	14983
33063	14	26980
17552	14	42785
21673	14	24339
13159	14	38844
22017	14	23742
15281	14	24194
22017	14	24334
6727	14	6774
16809	14	24486
20728	14	23729
33705	14	4462
2939	14	3933
40790	14	37887
20720	14	29079
13028	14	25340
20732	14	23773
20726	14	23891
2750	14	3800
33705	14	49645
13835	14	10700
13028	14	23695
42011	14	24039
24738	14	43183
15089	14	23785
22927	14	26019
24667	14	29013
13028	14	34015
13835	14	35137
17142	14	24600
33705	14	4302
24997	14	10834
43327	14	44476
22017	14	17567
27440	14	5475
20726	14	23991
33705	14	49675
21673	14	23866
20729	14	14824
22927	14	23969
20730	14	23738
13028	14	4548
20732	14	23707
33680	14	24405
26710	14	33219
24997	14	10843
22017	14	21821
13028	14	23677
13028	14	34031
45251	14	25373
13028	14	24635
33705	14	4472
13028	14	23737
16809	14	24474
42011	14	24032
33705	14	49641
24147	14	4669
20732	14	23855
25371	14	15506
45058	14	22455
10919	14	31090
21119	14	4943
32619	14	49103
20730	14	23980
26710	14	42275
25371	14	25320
26710	14	26910
34458	14	34481
32774	14	28741
20726	14	26877
33705	14	48827
13835	14	33727
24122	14	34485
20728	14	23975
23203	14	20911
27759	14	23770
20729	14	23879
6767	14	4551
22017	14	34016
15281	14	24198
22017	14	20731
45386	14	31102
29452	14	34483
33705	14	49746
20668	14	36391
13028	14	24638
13028	14	23880
23128	14	23982
16282	14	15023
21673	14	24164
13028	14	23716
33705	14	49730
26307	14	23441
15281	14	24216
17142	14	24594
28312	14	24081
22017	14	4892
2939	14	49427
33705	14	49673
31052	14	44545
13159	14	48244
28441	14	24399
24570	14	18468
33705	14	39100
20730	14	24251
21673	14	23876
15132	14	19631
30845	14	29112
4249	14	5360
30845	14	29135
20726	14	23795
20729	14	25695
20729	14	23846
33705	14	49659
44605	14	24237
13028	14	3705
20730	14	23154
20732	14	23761
20732	14	24007
22017	14	34043
13346	14	21618
23128	14	4026
42166	14	34473
24667	14	29121
20730	14	23989
24997	14	10842
44605	14	12421
23128	14	23705
27272	14	5412
33705	14	35753
20732	14	24234
13028	14	24011
20730	14	25300
23128	14	23689
27422	14	5038
13028	14	24624
20730	14	26036
33705	14	49666
34967	14	27427
41415	14	24212
33705	14	4465
21908	14	34024
33705	14	49696
17142	14	41482
22017	14	34053
20728	14	25714
16395	14	20194
42281	14	6030
22927	14	23845
42011	14	24034
20730	14	23942
13028	14	24628
13028	14	25080
24667	14	23612
20728	14	24017
24970	14	32785
25357	14	23963
15089	14	25316
22017	14	23808
15089	14	23801
26710	14	42286
22017	14	25711
7026	14	24439
33705	14	49694
33705	14	49739
13028	14	25285
24970	14	35521
24667	14	24069
29299	14	32647
26710	14	26904
6727	14	5570
21673	14	24004
25371	14	23794
22017	14	22282
33705	14	43677
20728	14	22030
33705	14	49721
33705	14	43680
20728	14	25303
42011	14	24040
33705	14	49633
9426	14	17786
26710	14	13407
23403	14	2896
20728	14	23910
20726	14	23749
20731	14	25708
21673	14	14991
19037	14	24482
2939	14	3935
2946	14	3507
20726	14	23936
42166	14	11522
15089	14	25690
33705	14	41030
46423	14	19745
20726	14	26025
20726	14	26011
33705	14	33715
10685	14	17589
13028	14	23938
7026	14	6691
24738	14	23633
20731	14	24248
22017	14	34042
20731	14	25680
32619	14	24008
21005	14	34385
34453	14	34469
17142	14	24596
17552	14	44236
33705	14	49660
22017	14	25287
23105	14	50159
38905	14	48987
20730	14	24004
17142	14	24366
33705	14	49657
42008	14	16271
26137	14	42318
10685	14	43780
22017	14	34022
33705	14	33160
22129	14	24357
26710	14	26992
32619	14	25702
33705	14	49543
